"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","410","Verify login with error user","SauceDemoSuite","Mon Mar 23 08:56:00 UTC 2026","passed","Mon Mar 23 08:56:01 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithErrorUser"
"","261","Verify login error for invalid password","SauceDemoSuite","Mon Mar 23 08:56:01 UTC 2026","passed","Mon Mar 23 08:56:02 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithInvalidPassword"
"","283","Verify login with problem user","SauceDemoSuite","Mon Mar 23 08:56:10 UTC 2026","passed","Mon Mar 23 08:56:10 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithProblemUser"
"","440","Verify user can logout successfully","SauceDemoSuite","Mon Mar 23 08:56:12 UTC 2026","passed","Mon Mar 23 08:56:12 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLogout"
"","261","Verify login error message for locked out user","SauceDemoSuite","Mon Mar 23 08:56:03 UTC 2026","passed","Mon Mar 23 08:56:03 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithLockedOutUser"
"","241","Verify login error for empty username","SauceDemoSuite","Mon Mar 23 08:55:59 UTC 2026","passed","Mon Mar 23 08:56:00 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithEmptyUsername"
"","779","Verify successful checkout flow","SauceDemoSuite","Mon Mar 23 08:56:14 UTC 2026","failed","Mon Mar 23 08:56:15 UTC 2026","com.saucedemo.tests.CheckoutTest","LoginAndCheckoutTests","com.saucedemo.tests.CheckoutTest","testSuccessfulCheckout"
"","294","Verify login error for empty password","SauceDemoSuite","Mon Mar 23 08:55:59 UTC 2026","passed","Mon Mar 23 08:55:59 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithEmptyPassword"
"","264","Verify login error for invalid username","SauceDemoSuite","Mon Mar 23 08:56:02 UTC 2026","passed","Mon Mar 23 08:56:03 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithInvalidUsername"
"","301","Verify successful login with standard user","SauceDemoSuite","Mon Mar 23 08:56:13 UTC 2026","passed","Mon Mar 23 08:56:13 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testSuccessfulLoginWithStandardUser"
"","374","Verify login error when both fields are empty","SauceDemoSuite","Mon Mar 23 08:55:57 UTC 2026","passed","Mon Mar 23 08:55:58 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithBothFieldsEmpty"
"","5290","Verify login with performance glitch user","SauceDemoSuite","Mon Mar 23 08:56:04 UTC 2026","passed","Mon Mar 23 08:56:09 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithPerformanceGlitchUser"
"","282","Verify login with visual user","SauceDemoSuite","Mon Mar 23 08:56:11 UTC 2026","passed","Mon Mar 23 08:56:11 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithVisualUser"
