"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","432","Verify user can logout successfully","SauceDemoSuite","Mon Mar 23 09:11:30 UTC 2026","passed","Mon Mar 23 09:11:30 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLogout"
"","311","Verify login error for empty password","SauceDemoSuite","Mon Mar 23 09:11:18 UTC 2026","passed","Mon Mar 23 09:11:18 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithEmptyPassword"
"","395","Verify login error when both fields are empty","SauceDemoSuite","Mon Mar 23 09:11:17 UTC 2026","passed","Mon Mar 23 09:11:17 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithBothFieldsEmpty"
"","268","Verify login error message for locked out user","SauceDemoSuite","Mon Mar 23 09:11:22 UTC 2026","passed","Mon Mar 23 09:11:22 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithLockedOutUser"
"","279","Verify login with visual user","SauceDemoSuite","Mon Mar 23 09:11:29 UTC 2026","passed","Mon Mar 23 09:11:29 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithVisualUser"
"","1041","Verify successful checkout flow","SauceDemoSuite","Mon Mar 23 09:11:32 UTC 2026","passed","Mon Mar 23 09:11:33 UTC 2026","com.saucedemo.tests.CheckoutTest","LoginAndCheckoutTests","com.saucedemo.tests.CheckoutTest","testSuccessfulCheckout"
"","420","Verify login with error user","SauceDemoSuite","Mon Mar 23 09:11:19 UTC 2026","passed","Mon Mar 23 09:11:20 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithErrorUser"
"","244","Verify login error for empty username","SauceDemoSuite","Mon Mar 23 09:11:18 UTC 2026","passed","Mon Mar 23 09:11:19 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithEmptyUsername"
"","266","Verify login error for invalid username","SauceDemoSuite","Mon Mar 23 09:11:21 UTC 2026","passed","Mon Mar 23 09:11:21 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithInvalidUsername"
"","282","Verify login with problem user","SauceDemoSuite","Mon Mar 23 09:11:28 UTC 2026","passed","Mon Mar 23 09:11:29 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithProblemUser"
"","5299","Verify login with performance glitch user","SauceDemoSuite","Mon Mar 23 09:11:23 UTC 2026","passed","Mon Mar 23 09:11:28 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithPerformanceGlitchUser"
"","268","Verify login error for invalid password","SauceDemoSuite","Mon Mar 23 09:11:20 UTC 2026","passed","Mon Mar 23 09:11:20 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithInvalidPassword"
"","308","Verify successful login with standard user","SauceDemoSuite","Mon Mar 23 09:11:31 UTC 2026","passed","Mon Mar 23 09:11:31 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testSuccessfulLoginWithStandardUser"
