"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","553","Verify login error when both fields are empty","SauceDemoSuite","Mon Mar 23 09:30:53 UTC 2026","passed","Mon Mar 23 09:30:53 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithBothFieldsEmpty"
"","263","Verify login error message for locked out user","SauceDemoSuite","Mon Mar 23 09:30:58 UTC 2026","passed","Mon Mar 23 09:30:58 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithLockedOutUser"
"","483","Verify user can logout successfully","SauceDemoSuite","Mon Mar 23 09:31:06 UTC 2026","passed","Mon Mar 23 09:31:07 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLogout"
"","5298","Verify login with performance glitch user","SauceDemoSuite","Mon Mar 23 09:30:59 UTC 2026","passed","Mon Mar 23 09:31:04 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithPerformanceGlitchUser"
"","273","Verify login error for invalid username","SauceDemoSuite","Mon Mar 23 09:30:57 UTC 2026","passed","Mon Mar 23 09:30:57 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithInvalidUsername"
"","271","Verify login error for invalid password","SauceDemoSuite","Mon Mar 23 09:30:56 UTC 2026","passed","Mon Mar 23 09:30:57 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithInvalidPassword"
"","303","Verify login error for empty password","SauceDemoSuite","Mon Mar 23 09:30:54 UTC 2026","passed","Mon Mar 23 09:30:54 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithEmptyPassword"
"","405","Verify login with error user","SauceDemoSuite","Mon Mar 23 09:30:55 UTC 2026","passed","Mon Mar 23 09:30:56 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithErrorUser"
"","328","Verify login with visual user","SauceDemoSuite","Mon Mar 23 09:31:06 UTC 2026","passed","Mon Mar 23 09:31:06 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithVisualUser"
"","341","Verify successful login with standard user","SauceDemoSuite","Mon Mar 23 09:31:08 UTC 2026","passed","Mon Mar 23 09:31:08 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testSuccessfulLoginWithStandardUser"
"","1041","Verify successful checkout flow","SauceDemoSuite","Mon Mar 23 09:31:08 UTC 2026","failed","Mon Mar 23 09:31:10 UTC 2026","com.saucedemo.tests.CheckoutTest","LoginAndCheckoutTests","com.saucedemo.tests.CheckoutTest","testSuccessfulCheckout"
"","326","Verify login with problem user","SauceDemoSuite","Mon Mar 23 09:31:05 UTC 2026","passed","Mon Mar 23 09:31:05 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithProblemUser"
"","244","Verify login error for empty username","SauceDemoSuite","Mon Mar 23 09:30:55 UTC 2026","passed","Mon Mar 23 09:30:55 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithEmptyUsername"
