"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5295","Verify login with performance glitch user","SauceDemoSuite","Mon Mar 23 09:20:03 UTC 2026","passed","Mon Mar 23 09:20:08 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithPerformanceGlitchUser"
"","270","Verify login error for invalid password","SauceDemoSuite","Mon Mar 23 09:20:01 UTC 2026","passed","Mon Mar 23 09:20:01 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithInvalidPassword"
"","282","Verify login with problem user","SauceDemoSuite","Mon Mar 23 09:20:09 UTC 2026","passed","Mon Mar 23 09:20:09 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithProblemUser"
"","310","Verify successful login with standard user","SauceDemoSuite","Mon Mar 23 09:20:11 UTC 2026","passed","Mon Mar 23 09:20:12 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testSuccessfulLoginWithStandardUser"
"","287","Verify login with visual user","SauceDemoSuite","Mon Mar 23 09:20:10 UTC 2026","passed","Mon Mar 23 09:20:10 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithVisualUser"
"","389","Verify login with error user","SauceDemoSuite","Mon Mar 23 09:20:00 UTC 2026","passed","Mon Mar 23 09:20:00 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithErrorUser"
"","414","Verify user can logout successfully","SauceDemoSuite","Mon Mar 23 09:20:11 UTC 2026","passed","Mon Mar 23 09:20:11 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLogout"
"","393","Verify login error when both fields are empty","SauceDemoSuite","Mon Mar 23 09:19:57 UTC 2026","passed","Mon Mar 23 09:19:57 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithBothFieldsEmpty"
"","885","Verify successful checkout flow","SauceDemoSuite","Mon Mar 23 09:20:12 UTC 2026","failed","Mon Mar 23 09:20:13 UTC 2026","com.saucedemo.tests.CheckoutTest","LoginAndCheckoutTests","com.saucedemo.tests.CheckoutTest","testSuccessfulCheckout"
"","259","Verify login error for empty username","SauceDemoSuite","Mon Mar 23 09:19:59 UTC 2026","passed","Mon Mar 23 09:19:59 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithEmptyUsername"
"","272","Verify login error for invalid username","SauceDemoSuite","Mon Mar 23 09:20:01 UTC 2026","passed","Mon Mar 23 09:20:02 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithInvalidUsername"
"","268","Verify login error message for locked out user","SauceDemoSuite","Mon Mar 23 09:20:02 UTC 2026","passed","Mon Mar 23 09:20:03 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithLockedOutUser"
"","299","Verify login error for empty password","SauceDemoSuite","Mon Mar 23 09:19:58 UTC 2026","passed","Mon Mar 23 09:19:58 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithEmptyPassword"
